id,sequence,trip_id,stop_id,created_at,updated_at
84,1,13,390,2015-04-14 22:55:52 UTC,2015-04-14 22:55:52 UTC
85,2,13,392,2015-04-14 22:56:18 UTC,2015-04-14 22:56:18 UTC
86,3,13,391,2015-04-14 22:56:27 UTC,2015-04-14 22:56:27 UTC
87,4,13,380,2015-04-14 22:56:44 UTC,2015-04-14 22:56:44 UTC
88,5,13,381,2015-04-14 22:56:56 UTC,2015-04-14 22:56:56 UTC
89,6,13,382,2015-04-14 22:57:08 UTC,2015-04-14 22:57:08 UTC
90,7,13,60,2015-04-14 23:00:26 UTC,2015-04-14 23:00:26 UTC
91,8,13,58,2015-04-14 23:00:37 UTC,2015-04-14 23:00:37 UTC
92,9,13,55,2015-04-14 23:00:57 UTC,2015-04-14 23:00:57 UTC
93,10,13,383,2015-04-14 23:01:10 UTC,2015-04-14 23:01:10 UTC
94,11,13,385,2015-04-14 23:01:23 UTC,2015-04-14 23:01:23 UTC
95,12,13,384,2015-04-14 23:01:47 UTC,2015-04-14 23:01:47 UTC
96,13,13,386,2015-04-14 23:02:24 UTC,2015-04-14 23:02:24 UTC
97,14,13,19,2015-04-14 23:02:47 UTC,2015-04-14 23:02:47 UTC
98,15,13,17,2015-04-14 23:02:56 UTC,2015-04-14 23:02:56 UTC
99,16,13,387,2015-04-14 23:03:05 UTC,2015-04-14 23:03:05 UTC
100,17,13,214,2015-04-14 23:03:24 UTC,2015-04-14 23:03:24 UTC
101,18,13,388,2015-04-14 23:03:37 UTC,2015-04-14 23:03:37 UTC
102,19,13,389,2015-04-14 23:03:47 UTC,2015-04-14 23:03:47 UTC
2,6,2,370,2015-04-13 16:39:26 UTC,2015-04-15 02:12:24 UTC
103,0,14,3,2015-04-15 13:46:38 UTC,2015-04-15 13:46:38 UTC
104,1,14,394,2015-04-15 13:50:19 UTC,2015-04-15 13:50:19 UTC
105,2,14,395,2015-04-15 13:50:42 UTC,2015-04-15 13:50:42 UTC
106,3,14,396,2015-04-15 13:50:52 UTC,2015-04-15 13:50:52 UTC
107,4,14,397,2015-04-15 13:51:00 UTC,2015-04-15 13:51:00 UTC
108,5,14,398,2015-04-15 13:51:10 UTC,2015-04-15 13:51:10 UTC
109,6,14,399,2015-04-15 13:51:24 UTC,2015-04-15 13:51:24 UTC
110,7,14,393,2015-04-15 13:51:33 UTC,2015-04-15 13:51:33 UTC
111,8,14,3,2015-04-15 13:52:36 UTC,2015-04-15 13:52:36 UTC
113,0,15,466,2015-04-15 14:08:15 UTC,2015-04-15 14:08:15 UTC
114,1,15,467,2015-04-15 14:08:37 UTC,2015-04-15 14:08:37 UTC
115,2,15,261,2015-04-15 14:09:22 UTC,2015-04-15 14:09:22 UTC
116,3,15,260,2015-04-15 14:09:44 UTC,2015-04-15 14:09:44 UTC
117,4,15,331,2015-04-15 14:09:52 UTC,2015-04-15 14:09:52 UTC
137,13,16,81,2015-04-15 14:31:29 UTC,2015-04-15 14:31:29 UTC
131,7,16,76,2015-04-15 14:30:18 UTC,2015-04-15 14:30:18 UTC
132,8,16,77,2015-04-15 14:30:42 UTC,2015-04-15 14:30:42 UTC
133,9,16,333,2015-04-15 14:30:52 UTC,2015-04-15 14:30:52 UTC
134,10,16,332,2015-04-15 14:30:59 UTC,2015-04-15 14:30:59 UTC
135,11,16,84,2015-04-15 14:31:08 UTC,2015-04-15 14:31:08 UTC
136,12,16,83,2015-04-15 14:31:15 UTC,2015-04-15 14:31:15 UTC
138,14,16,44,2015-04-15 14:31:39 UTC,2015-04-15 14:31:39 UTC
139,15,16,448,2015-04-15 14:31:47 UTC,2015-04-15 14:31:47 UTC
140,16,16,447,2015-04-15 14:31:59 UTC,2015-04-15 14:31:59 UTC
141,17,16,446,2015-04-15 14:32:11 UTC,2015-04-15 14:32:11 UTC
142,18,16,45,2015-04-15 14:32:23 UTC,2015-04-15 14:32:23 UTC
143,19,16,46,2015-04-15 14:32:31 UTC,2015-04-15 14:32:31 UTC
144,20,16,47,2015-04-15 14:32:38 UTC,2015-04-15 14:32:38 UTC
145,21,16,48,2015-04-15 14:32:47 UTC,2015-04-15 14:32:47 UTC
146,5,15,262,2015-04-15 14:46:20 UTC,2015-04-15 14:46:29 UTC
118,6,15,263,2015-04-15 14:11:57 UTC,2015-04-15 14:11:57 UTC
119,7,15,264,2015-04-15 14:12:06 UTC,2015-04-15 14:12:06 UTC
121,8,15,465,2015-04-15 14:12:40 UTC,2015-04-15 14:12:40 UTC
122,9,15,445,2015-04-15 14:12:52 UTC,2015-04-15 14:12:52 UTC
123,10,15,265,2015-04-15 14:13:07 UTC,2015-04-15 14:13:07 UTC
147,0,17,16,2015-04-15 15:10:59 UTC,2015-04-15 15:10:59 UTC
148,1,17,411,2015-04-15 15:11:16 UTC,2015-04-15 15:11:16 UTC
149,2,17,412,2015-04-15 15:11:21 UTC,2015-04-15 15:11:21 UTC
150,3,17,413,2015-04-15 15:11:28 UTC,2015-04-15 15:11:28 UTC
151,4,17,60,2015-04-15 15:11:36 UTC,2015-04-15 15:11:36 UTC
152,5,17,58,2015-04-15 15:11:41 UTC,2015-04-15 15:11:41 UTC
153,6,17,408,2015-04-15 15:11:47 UTC,2015-04-15 15:11:47 UTC
154,7,17,409,2015-04-15 15:11:53 UTC,2015-04-15 15:11:53 UTC
155,8,17,410,2015-04-15 15:11:59 UTC,2015-04-15 15:11:59 UTC
156,9,17,16,2015-04-15 15:12:11 UTC,2015-04-15 15:12:11 UTC
157,0,18,62,2015-04-15 15:37:02 UTC,2015-04-15 15:37:02 UTC
158,0,25,459,2015-04-15 16:27:22 UTC,2015-04-15 16:27:22 UTC
159,1,25,212,2015-04-15 16:55:25 UTC,2015-04-15 16:55:25 UTC
160,2,25,210,2015-04-15 16:55:29 UTC,2015-04-15 16:55:29 UTC
161,3,25,3,2015-04-15 16:56:00 UTC,2015-04-15 16:56:00 UTC
162,4,25,20,2015-04-15 16:56:12 UTC,2015-04-15 16:56:12 UTC
163,5,25,21,2015-04-15 16:56:27 UTC,2015-04-15 16:56:27 UTC
164,6,25,22,2015-04-15 16:56:43 UTC,2015-04-15 16:56:43 UTC
165,7,25,472,2015-04-15 16:56:53 UTC,2015-04-15 16:56:53 UTC
166,8,25,11,2015-04-15 16:57:01 UTC,2015-04-15 16:57:01 UTC
167,9,25,471,2015-04-15 16:57:12 UTC,2015-04-15 16:57:12 UTC
168,10,25,473,2015-04-15 16:57:33 UTC,2015-04-15 16:57:33 UTC
181,0,26,491,2015-04-15 17:03:08 UTC,2015-04-15 17:03:08 UTC
182,1,26,493,2015-04-15 17:03:33 UTC,2015-04-15 17:03:33 UTC
184,2,26,494,2015-04-15 17:04:57 UTC,2015-04-15 17:04:57 UTC
185,3,26,496,2015-04-15 17:05:04 UTC,2015-04-15 17:05:04 UTC
186,4,26,488,2015-04-15 17:05:14 UTC,2015-04-15 17:05:14 UTC
187,5,26,486,2015-04-15 17:05:25 UTC,2015-04-15 17:05:25 UTC
188,6,26,483,2015-04-15 17:05:30 UTC,2015-04-15 17:05:30 UTC
189,7,26,481,2015-04-15 17:05:40 UTC,2015-04-15 17:05:40 UTC
190,8,26,480,2015-04-15 17:05:53 UTC,2015-04-15 17:05:53 UTC
191,9,26,478,2015-04-15 17:06:00 UTC,2015-04-15 17:06:00 UTC
192,10,26,476,2015-04-15 17:06:10 UTC,2015-04-15 17:06:10 UTC
193,11,26,474,2015-04-15 17:06:22 UTC,2015-04-15 17:06:22 UTC
194,12,26,25,2015-04-15 17:06:47 UTC,2015-04-15 17:06:47 UTC
195,13,26,24,2015-04-15 17:07:00 UTC,2015-04-15 17:07:00 UTC
196,14,26,499,2015-04-15 17:08:29 UTC,2015-04-15 17:08:29 UTC
197,15,26,211,2015-04-15 17:08:54 UTC,2015-04-15 17:08:54 UTC
198,16,26,213,2015-04-15 17:09:00 UTC,2015-04-15 17:09:00 UTC
199,17,26,459,2015-04-15 17:09:07 UTC,2015-04-15 17:09:07 UTC
246,14,30,501,2015-04-16 18:54:10 UTC,2015-04-16 18:54:10 UTC
247,15,30,182,2015-04-16 18:54:17 UTC,2015-04-16 18:54:17 UTC
248,16,30,181,2015-04-16 18:54:26 UTC,2015-04-16 18:54:26 UTC
249,17,30,513,2015-04-16 18:55:07 UTC,2015-04-16 18:55:07 UTC
250,18,30,178,2015-04-16 18:55:21 UTC,2015-04-16 18:55:21 UTC
251,19,30,389,2015-04-16 18:55:50 UTC,2015-04-16 18:55:50 UTC
252,20,30,390,2015-04-16 18:56:14 UTC,2015-04-16 18:56:14 UTC
253,21,30,30,2015-04-16 18:56:30 UTC,2015-04-16 18:56:30 UTC
254,22,30,5,2015-04-16 18:59:37 UTC,2015-04-16 18:59:37 UTC
255,23,30,515,2015-04-16 18:59:58 UTC,2015-04-16 18:59:58 UTC
256,24,30,3,2015-04-16 19:00:10 UTC,2015-04-16 19:00:10 UTC
200,11,25,475,2015-04-15 17:14:42 UTC,2015-04-15 17:14:50 UTC
170,12,25,477,2015-04-15 16:58:01 UTC,2015-04-15 16:58:01 UTC
171,13,25,479,2015-04-15 16:58:24 UTC,2015-04-15 16:58:24 UTC
172,14,25,482,2015-04-15 16:58:42 UTC,2015-04-15 16:58:42 UTC
173,15,25,484,2015-04-15 16:59:00 UTC,2015-04-15 16:59:00 UTC
174,16,25,485,2015-04-15 17:01:00 UTC,2015-04-15 17:01:00 UTC
