id,name,lat,lon,created_at,updated_at
285,Mañanitas R,9.079844,-79.399647,2015-04-07 02:27:19 UTC,2015-04-16 20:22:59 UTC
196,El Brillante I,9.086709,-79.366077,2015-04-07 02:27:19 UTC,2015-04-16 17:48:17 UTC
207,Colegio Nacional,8.959535,-79.542603,2015-04-07 02:27:19 UTC,2015-04-17 15:43:34 UTC
290,Santa Mónica,9.073545,-79.413482,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
291,Parque Real,9.071713,-79.414265,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
299,Belén,9.082805,-79.39748,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
300,Villa Belén,9.083621,-79.394787,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
301,Las Trancas,9.085125,-79.391906,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
280,Colonias del Prado,9.062034,-79.416084,2015-04-07 02:27:19 UTC,2015-04-27 00:11:57 UTC
272,Calle 6 R,9.05127,-79.414405,2015-04-07 02:27:19 UTC,2015-05-03 16:40:13 UTC
282,Vereda 1 I,9.044436,-79.40859,2015-04-07 02:27:19 UTC,2015-05-03 16:41:12 UTC
275,Bello Horizonte I,9.053103,-79.41014,2015-04-07 02:27:19 UTC,2015-04-27 00:13:03 UTC
277,Los Caobos,9.057516,-79.412956,2015-04-07 02:27:19 UTC,2015-04-27 00:18:04 UTC
276,Parada de Santa Rita,9.055068,-79.411401,2015-04-07 02:27:19 UTC,2015-04-27 00:17:44 UTC
274,Los Sauces R,9.052636,-79.417913,2015-04-07 02:27:19 UTC,2015-05-03 16:41:54 UTC
267,Calle Circunvalación I,9.045644,-79.413198,2015-04-07 02:27:19 UTC,2015-05-03 21:47:40 UTC
283,Vereda 0 R,9.043652,-79.409899,2015-04-07 02:27:19 UTC,2015-05-03 16:41:39 UTC
278,Calle 3B R,9.056827,-79.417977,2015-04-07 02:27:19 UTC,2015-05-03 16:43:29 UTC
244,San Fernando I,9.041946,-79.457084,2015-04-07 02:27:19 UTC,2015-05-03 16:47:24 UTC
279,Calle 1C R,9.059232,-79.41942,2015-04-07 02:27:19 UTC,2015-05-03 16:43:38 UTC
281,Terremar I,9.049686,-79.408032,2015-04-07 02:27:19 UTC,2015-05-03 16:40:46 UTC
246,El Pinate I,9.045824,-79.445776,2015-04-07 02:27:19 UTC,2015-04-27 16:56:31 UTC
219,Hospital América I,9.00138,-79.516819,2015-04-07 02:27:19 UTC,2015-04-27 16:44:05 UTC
224,Santa Elena I,9.017538,-79.494525,2015-04-07 02:27:19 UTC,2015-04-27 16:49:03 UTC
221,12 de Octubre R,9.009792,-79.505509,2015-04-07 02:27:19 UTC,2015-04-27 16:48:18 UTC
225,Escuela República de Haití R,9.018598,-79.492672,2015-04-07 02:27:19 UTC,2015-04-27 16:49:33 UTC
226,Escuela República de Haití I,9.018762,-79.492795,2015-04-07 02:27:19 UTC,2015-04-27 16:49:41 UTC
229,Torres Vía España R,9.021692,-79.489638,2015-04-07 02:27:19 UTC,2015-04-27 16:49:53 UTC
228,Torres Vía España I,9.021528,-79.490115,2015-04-07 02:27:19 UTC,2015-04-27 16:49:58 UTC
245,Villa Venus I,9.044937,-79.451166,2015-04-07 02:27:19 UTC,2015-04-27 16:54:38 UTC
230,El Balboa R,9.023991,-79.486481,2015-04-07 02:27:19 UTC,2015-04-27 16:50:20 UTC
248,J. J. Vallarino I,9.055137,-79.434519,2015-04-07 02:27:19 UTC,2015-04-27 17:26:05 UTC
231,Las Marcasas R,9.027191,-79.481009,2015-04-07 02:27:19 UTC,2015-04-27 16:51:25 UTC
233,Plaza Carolina R,9.029506,-79.477227,2015-04-07 02:27:19 UTC,2015-04-27 16:51:02 UTC
234,Campo Limbergh R,9.032781,-79.473853,2015-04-07 02:27:19 UTC,2015-04-27 16:51:59 UTC
235,Campo Limbergh I,9.032604,-79.474404,2015-04-07 02:27:19 UTC,2015-04-27 16:52:41 UTC
238,Estadio Rommel Fernández R,9.036669,-79.470125,2015-04-07 02:27:19 UTC,2015-04-27 16:53:12 UTC
243,San Pedro Sur I,9.040611,-79.459801,2015-04-07 02:27:19 UTC,2015-04-27 16:59:02 UTC
247,Juan Díaz I,9.048208,-79.439151,2015-04-07 02:27:19 UTC,2015-04-27 16:55:59 UTC
259,Versalles I,9.041575,-79.419887,2015-04-07 02:27:19 UTC,2015-05-03 21:13:20 UTC
242,San Pedro Sur R,9.040801,-79.458683,2015-04-07 02:27:19 UTC,2015-04-27 16:58:40 UTC
232,Las Marcasas I,9.027509,-79.481363,2015-04-07 02:27:19 UTC,2015-04-27 17:02:02 UTC
240,San Cristobal Sur R,9.038248,-79.464396,2015-04-07 02:27:19 UTC,2015-04-27 17:00:39 UTC
239,Policlínica Juan Díaz I,9.037202,-79.469516,2015-04-07 02:27:19 UTC,2015-04-27 19:49:28 UTC
294,Rana de Oro I,9.071374,-79.426571,2015-04-07 02:27:19 UTC,2015-04-28 14:39:33 UTC
293,San Joaquín R,9.069859,-79.423884,2015-04-07 02:27:19 UTC,2015-04-28 14:39:18 UTC
295,Villa Lobos R,9.070208,-79.42818,2015-04-07 02:27:19 UTC,2015-04-28 14:40:42 UTC
292,Estación de Buses de Pedregal,9.067536,-79.420541,2015-04-07 02:27:19 UTC,2015-04-28 14:56:20 UTC
297,Nazareno I,9.065133,-79.431678,2015-04-07 02:27:19 UTC,2015-04-28 14:44:25 UTC
273,Calle 5C R,9.050698,-79.416717,2015-04-07 02:27:19 UTC,2015-05-03 16:38:21 UTC
266,Cecilio Castillero R,9.043615,-79.416153,2015-04-07 02:27:19 UTC,2015-05-03 21:46:58 UTC
268,Avenida Primera I,9.047551,-79.410231,2015-04-07 02:27:19 UTC,2015-05-03 21:20:19 UTC
270,Calle Escandinavos R,9.047874,-79.410682,2015-04-07 02:27:19 UTC,2015-05-03 21:57:38 UTC
302,Mañanitas Interna,9.086142,-79.389047,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
303,T de Torrijos-Carter,9.07202,-79.489388,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
304,El Mirador,9.075633,-79.491212,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
305,Calle C-5,9.077349,-79.491346,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
306,Estación Torrijos-Carter,9.078381,-79.492007,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
307,Centro de Salud de Torrijos-Carter,9.080495,-79.491727,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
308,Estación Santa Librada,9.080231,-79.493315,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
309,Santa Librada,9.080543,-79.494254,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
310,Santa Marta,9.078165,-79.496223,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
311,Guandú,9.076321,-79.497038,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
312,Calle C-10,9.075219,-79.498605,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
313,Santa Librada 4 Etapa,9.07434,-79.500997,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
314,Escuela Santa Librada,9.07345,-79.503164,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
315,Caja de Ahorros,9.074224,-79.504452,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
316,Santa Librada,9.072332,-79.505619,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
321,del Cruce de Santa Librada,9.07416,-79.508035,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
322,Santa Librada 2 Etapa,9.075272,-79.50921,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
324,Santa Librada 3 Etapa,9.078022,-79.511581,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
325,Santa Librada 7 Etapa,9.079568,-79.509645,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
326,Calle Las Peras,9.076851,-79.507392,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
327,5ª Etapa Santa Librada,9.078122,-79.506147,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
328,Santa Rita,9.076459,-79.503712,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
332,Club X,9.016031,-79.520762,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
333,Castilla de Oro,9.01468,-79.524338,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
334,Calle 72 Oeste,9.009146,-79.530314,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
335,FEMSA,9.006971,-79.531255,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
348,Estacion de Buses de Ruta Interna Samaria,9.04833,-79.499959,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
351,Entrada de Calle M,9.038714,-79.493227,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
353,ruta interna de Moya,9.037509,-79.495844,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
355,PARADA 5,9.035408,-79.492006,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
356,PARADA 6,9.037739,-79.492465,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
357,Clayton Externa R,8.993446,-79.581591,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
358,Entrada Ciudad del Saber,8.999747,-79.58583,2015-04-07 02:27:19 UTC,2015-04-13 17:06:23 UTC
359,Entrada Ciudad del Saber R,8.999662,-79.586023,2015-04-07 02:27:19 UTC,2015-04-13 17:06:12 UTC
361,Esclusas de Miraflores,8.9975,-79.590624,2015-04-07 02:27:19 UTC,2015-04-13 17:00:43 UTC
362,Calle Antón,8.979265,-79.569615,2015-04-07 02:27:19 UTC,2015-04-13 17:25:53 UTC
363,San Vicente,8.979305,-79.569138,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
364,Clayton Externa,8.99311,-79.581034,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
365,Meduca-R,8.985273,-79.574536,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
366,Meduca-I,8.985662,-79.574535,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
367,Corozal R,8.984381,-79.573489,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
368,Corozal ,8.983265,-79.572556,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
369,Diablo,8.97327,-79.565343,2015-04-07 02:27:19 UTC,2015-04-13 16:56:46 UTC
370,C. Ascanio Villalaz,8.959476,-79.557291,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
371,Teatro Balboa I,8.955801,-79.558634,2015-04-07 02:27:19 UTC,2015-04-13 16:35:00 UTC
372,City Bank,8.954134,-79.557419,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
373,Calle Van Hook I,8.940739,-79.551573,2015-04-07 02:27:19 UTC,2015-04-13 16:35:57 UTC
374,Figali-I,8.93622,-79.545328,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
375,Figali R,8.940604,-79.546574,2015-04-07 02:27:19 UTC,2015-04-13 16:36:42 UTC
376,Museo Frank Gehry,8.933485,-79.545139,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
377,Smithsonian,8.915764,-79.5316,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
378,Isla Perico R,8.915041,-79.527221,2015-04-07 02:27:19 UTC,2015-04-13 16:37:38 UTC
379,Isla Flamenco,8.910833,-79.522515,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
380,Iglesia del Carmen,8.980715,-79.527646,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
381,Crowne Plaza,8.982484,-79.528757,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
382,Manuel Espinoza Batista,8.985652,-79.531276,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
383,Markez-W-I,9.000191,-79.531972,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
384,Calle 63 Oeste,9.000111,-79.526079,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
385,Pato Brinks,9.000836,-79.529058,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
386,Escritor Ricardo Miró,8.99946,-79.523232,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
387,Galerías Obarrio,8.991215,-79.520271,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
388,Escuela Profesional,8.98287,-79.514206,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
391,Rhinos,8.97851,-79.52713,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
392,Federico Boyd,8.976767,-79.526873,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
393,Melchi,8.958688,-79.539559,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
394,Mercado de Mariscos,8.958206,-79.538999,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
395,Calle 12,8.957565,-79.540496,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
396,Escuela José de Malambo,8.953716,-79.540753,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
397,Parque de Santa Ana,8.953613,-79.538718,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
398,Salsipuedes,8.955078,-79.538037,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
344,La Vilca R,9.063004,-79.497585,2015-04-07 02:27:19 UTC,2015-04-28 12:23:18 UTC
339,Policía Mano de Piedra I,9.063316,-79.490263,2015-04-07 02:27:19 UTC,2015-04-28 12:34:53 UTC
336,Estación Mano de Piedra,9.05558,-79.489986,2015-04-07 02:27:19 UTC,2015-04-28 12:46:56 UTC
