id,name,url,created_at,updated_at
4,Cervecería Nacional - Transístmica - 24 diciembre,http://www.mibus.com.pa/24-de-diciembre-transistmica-cerveceria-nacional/,2015-04-07 02:27:17 UTC,2015-04-24 20:56:38 UTC
57,El Poderoso - Cerro Batea - Mano de Piedra - Transfer,http://www.mibus.com.pa/el-poderoso-cerro-batea-mano-de-piedra-transfer/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
58,El Valle - Corredor Norte - Albrook,http://www.mibus.com.pa/el-valle-corredor-norte-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
18,Cervecería Nacional - Transístmica - Alcalde Díaz,http://www.mibus.com.pa/alcalde-diaz-transistmica-cerveceria-nacional/,2015-04-07 02:27:17 UTC,2015-04-27 20:21:57 UTC
10,Plaza Concordia - Vía España - 24 de diciembre,http://www.mibus.com.pa/24-de-diciembre-via-espana-plaza-concordia/,2015-04-07 02:27:17 UTC,2015-04-27 18:44:38 UTC
21,Plaza Concordia  - Vía España - Alcalde Díaz,http://www.mibus.com.pa/alcalde-diaz-via-espana-plaza-concordia/,2015-04-07 02:27:17 UTC,2015-04-27 21:09:25 UTC
47,Estación de Parador - Don Bosco - Corredor Sur - Estación Marañón,http://www.mibus.com.pa/don-bosco-corredor-sur-estacion-maranon/,2015-04-07 02:27:17 UTC,2015-05-03 21:41:26 UTC
11,24 de Diciembre Interna - Circular,http://www.mibus.com.pa/24-de-diciembre-interna-circular/,2015-04-07 02:27:17 UTC,2015-05-07 13:25:09 UTC
59,El Valle - Transístmica,http://www.mibus.com.pa/el-valle-transistmica/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
60,El Valle - Transístmica - Albrook,http://www.mibus.com.pa/el-valle-transistmica-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
62,El Valle - Vía España,http://www.mibus.com.pa/el-valle-via-espana/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
63,El Valle - Vía España - Albrook,http://www.mibus.com.pa/el-valle-via-espana-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
66,Estación La Cabima - Alcalde Díaz - Ciudad Bolívar - Circular,http://www.mibus.com.pa/estacion-la-cabima-alcalde-diaz-ciudad-bolivar-circular/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
67,Estación La Cabima - Autopista - Albrook,http://www.mibus.com.pa/estacion-la-cabima-autopista-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
68,Estación La Cabima - Chilibre Interna - Circular,http://www.mibus.com.pa/estacion-la-cabima-chilibre-interna-circular/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
69,Estación La Cabima - Corredor Norte - Abrook,http://www.mibus.com.pa/estacion-la-cabima-corredor-norte-abrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
70,Estación La Cabima - Gran Estación,http://www.mibus.com.pa/estacion-la-cabima-gran-estacion/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
71,Estación La Cabima - Transístmica - Directo - Albrook,http://www.mibus.com.pa/estacion-la-cabima-transistmica-directo-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
72,Estación La Cabima - Tumba Muerto - Directo - Albrook,http://www.mibus.com.pa/estacion-la-cabima-tumba-muerto-directo-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
73,Estación La Cabima - Vía España - Directo - Albrook,http://www.mibus.com.pa/estacion-la-cabima-via-espana-directo-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
74,Estación Marañón - Albrook - Circular,http://www.mibus.com.pa/estacion-maranon-albrook-circular/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
75,Estación Marañón - Teatro Balboa,http://www.mibus.com.pa/estacion-maranon-teatro-balboa/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
77,Estación Parador - Llano Bonito - Corredor Sur - Estación Marañon,http://www.mibus.com.pa/estacion-parador-llano-bonito-corredor-sur-estacion-maranon/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
78,Estación Parador - Vía España - Albrook,http://www.mibus.com.pa/estacion-parador-via-espana-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
79,Estación Vía Argentina – Plaza Edison – El Carmen,http://www.mibus.com.pa/estacion-via-argentina-plaza-edison-el-carmen/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
80,Estación Vía Argentina – Vía Brasil – Punta Pacífica,http://www.mibus.com.pa/estacion-via-argentina-via-brasil-punta-pacifica/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
81,Felipillo - Corredor Sur - Albrook,http://www.mibus.com.pa/felipillo-corredor-sur-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
82,Felipillo - Vía España - Albrook,http://www.mibus.com.pa/felipillo-via-espana-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
84,Gran Estación - Santa Librada - Torrijos Carter - Ruta Transfer,http://www.mibus.com.pa/grran-estacion-santa-librada-torrijos-carter-ruta-transfer/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
85,Gran Estación - Torrijos Carter - Santa Librada - Ruta Transfer,http://www.mibus.com.pa/grran-estacion-torrijos-carter-santa-librada-ruta-transfer/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
